DEMO_age,DEMO_gender,DEMO_identity_indigenous,DEMO_identity_lgbtq,LONELY_ucla_loneliness_scale_score
63,Woman,Not Selected,Not Selected,NA
61,Woman,NA,Not Selected,NA
24,Woman,Not Selected,Not Selected,3
81,NA,NA,NA,NA
85,Woman,NA,Not Selected,NA
62,Woman,NA,Not Selected,NA
75,Woman,NA,Not Selected,NA
33,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,7
72,Woman,NA,Not Selected,NA
39,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,5
36,Woman,NA,Not Selected,NA
NA,NA,NA,NA,NA
55,NA,NA,NA,NA
23,"Non-binary (including those identifying as Two Spirit, agender, genderfluid, genderqueer, or with another term)",NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
19,Woman,Not Selected,Not Selected,9
76,Woman,NA,Not Selected,NA
49,Man,Not Selected,Not Selected,9
NA,NA,NA,NA,NA
NA,NA,NA,NA,3
45,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
20,NA,NA,NA,NA
30,Woman,NA,Not Selected,NA
18,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
37,Man,Not Selected,Not Selected,6
NA,NA,NA,NA,6
NA,NA,NA,NA,8
57,NA,NA,NA,NA
66,Woman,NA,Not Selected,NA
35,NA,NA,NA,NA
21,NA,NA,NA,NA
65,Woman,NA,Not Selected,NA
NA,NA,NA,NA,NA
26,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,8
61,NA,NA,NA,NA
26,Man,Not Selected,Not Selected,6
75,NA,NA,NA,NA
30,Woman,Not Selected,Not Selected,6
45,NA,NA,NA,NA
25,NA,NA,NA,NA
67,Man,Not Selected,Not Selected,9
28,Man,Not Selected,Not Selected,5
18,Woman,Not Selected,Not Selected,4
21,Woman,Not Selected,Not Selected,6
19,NA,NA,NA,NA
34,Woman,NA,Not Selected,NA
45,Woman,NA,Not Selected,NA
58,Woman,NA,Not Selected,NA
34,Woman,NA,Not Selected,NA
27,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,7
29,Man,NA,Not Selected,NA
62,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
21,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
91,NA,NA,NA,NA
64,Woman,Not Selected,Not Selected,7
20,Man,NA,Not Selected,NA
40,"Non-binary (including those identifying as Two Spirit, agender, genderfluid, genderqueer, or with another term)",NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
28,Woman,NA,Not Selected,NA
34,Non-binary,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
68,NA,NA,NA,NA
60,Woman,NA,Not Selected,NA
71,NA,NA,NA,NA
30,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
60,Woman,NA,Not Selected,NA
31,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
30,Man,Not Selected,Not Selected,3
59,Woman,Not Selected,Not Selected,6
58,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",8
70,Woman,NA,Not Selected,NA
67,Woman,Not Selected,Not Selected,7
33,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,6
26,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,5
38,Woman,NA,Not Selected,NA
62,Woman,NA,Not Selected,NA
77,NA,NA,NA,NA
73,Man,NA,Not Selected,NA
36,Woman,NA,Not Selected,NA
28,Woman,NA,Not Selected,NA
38,NA,NA,NA,NA
61,Woman,NA,Not Selected,NA
50,Woman,NA,Not Selected,NA
62,Woman,Not Selected,Not Selected,NA
42,Woman,NA,Not Selected,NA
23,NA,NA,NA,NA
37,Woman,NA,Not Selected,NA
56,Woman,NA,Not Selected,NA
22,NA,NA,NA,NA
22,NA,NA,NA,NA
71,Woman,NA,Not Selected,NA
55,Woman,NA,Not Selected,NA
78,Woman,NA,Not Selected,NA
25,Woman,Not Selected,Not Selected,6
48,Woman,NA,Not Selected,NA
58,Woman,NA,Not Selected,NA
38,Man,Not Selected,Not Selected,3
61,Man,Not Selected,Not Selected,5
62,Woman,NA,Not Selected,NA
63,Woman,NA,Not Selected,NA
50,Man,NA,Not Selected,NA
NA,NA,NA,NA,5
NA,NA,NA,NA,6
60,NA,NA,NA,NA
NA,NA,NA,NA,NA
44,Woman,NA,Not Selected,NA
50,Woman,Not Selected,Not Selected,6
77,Man,Not Selected,Not Selected,NA
NA,NA,NA,NA,8
NA,NA,NA,NA,9
58,Woman,Not Selected,Not Selected,9
NA,NA,NA,NA,6
NA,NA,NA,NA,6
68,Man,Not Selected,Not Selected,6
26,Woman,Not Selected,Not Selected,6
18,NA,NA,NA,NA
21,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
33,Woman,NA,Not Selected,NA
39,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,4
54,Woman,NA,Not Selected,NA
30,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,6
53,Woman,Not Selected,Not Selected,6
28,Man,Not Selected,Not Selected,5
34,Woman,Not Selected,Not Selected,6
58,Woman,NA,Not Selected,NA
NA,NA,NA,NA,NA
56,Woman,Not Selected,Not Selected,7
74,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
57,NA,NA,NA,NA
57,Woman,NA,Not Selected,NA
57,Woman,NA,Not Selected,NA
59,Man,Not Selected,Not Selected,6
46,NA,NA,NA,NA
25,Woman,NA,Not Selected,NA
32,Man,Not Selected,Not Selected,4
65,Woman,NA,Not Selected,NA
20,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
72,NA,NA,NA,NA
35,NA,NA,NA,NA
55,Man,Not Selected,Not Selected,3
56,Woman,NA,Not Selected,NA
28,Man,Not Selected,Not Selected,7
28,Man,NA,Not Selected,NA
70,NA,NA,NA,NA
NA,NA,NA,NA,NA
66,Woman,NA,Not Selected,NA
47,Woman,Not Selected,Not Selected,4
28,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,4
30,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
50,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
65,Woman,NA,Not Selected,NA
53,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
61,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
26,Woman,NA,Not Selected,NA
25,NA,NA,NA,NA
24,Man,NA,Not Selected,NA
56,Woman,NA,Not Selected,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,3
66,Woman,Not Selected,Not Selected,6
35,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
42,Man,NA,Not Selected,NA
43,Man,NA,Not Selected,NA
71,Woman,NA,Not Selected,NA
22,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",4
44,NA,NA,NA,NA
50,NA,NA,NA,NA
50,Woman,NA,Not Selected,NA
74,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
32,Woman,NA,Not Selected,NA
60,Woman,Not Selected,Not Selected,7
25,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,4
47,NA,NA,NA,NA
52,Woman,NA,Not Selected,NA
28,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
44,NA,NA,NA,NA
54,Woman,Not Selected,Not Selected,NA
55,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
45,Woman,NA,Not Selected,NA
26,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
25,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",3
38,NA,NA,NA,NA
37,NA,NA,NA,NA
34,Woman,Not Selected,Not Selected,7
45,NA,NA,NA,NA
37,Woman,NA,Not Selected,NA
27,Presented but no response,NA,NA,NA
36,Man,NA,Not Selected,NA
59,Woman,NA,Not Selected,NA
33,Man,Not Selected,Not Selected,NA
55,NA,NA,NA,NA
26,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,3
19,NA,NA,NA,NA
32,Woman,Not Selected,Not Selected,6
62,Woman,Not Selected,Not Selected,6
25,Woman,Presented but no response,Presented but no response,NA
19,NA,NA,NA,NA
29,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,3
63,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
63,Woman,NA,Not Selected,NA
23,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",6
64,Woman,NA,Not Selected,NA
20,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",4
44,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
51,Woman,NA,Not Selected,NA
NA,NA,NA,NA,NA
54,NA,NA,NA,NA
NA,NA,NA,NA,NA
42,Woman,NA,Not Selected,NA
26,Non-binary,Not Selected,Not Selected,7
NA,NA,NA,NA,NA
96,NA,NA,NA,NA
70,Woman,NA,Not Selected,NA
61,NA,NA,NA,NA
49,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
57,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
35,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
58,Woman,NA,Not Selected,NA
30,Man,Not Selected,Not Selected,6
48,NA,NA,NA,NA
64,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",NA
52,Woman,Not Selected,Not Selected,5
30,Woman,Not Selected,Not Selected,NA
56,Man,NA,Not Selected,NA
27,Woman,Not Selected,Not Selected,8
67,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",3
26,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,5
69,Woman,Not Selected,Not Selected,6
65,NA,NA,NA,NA
62,Man,NA,Not Selected,NA
30,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",5
75,Woman,NA,Not Selected,NA
NA,NA,NA,NA,NA
54,Woman,Not Selected,Not Selected,6
NA,NA,NA,NA,NA
NA,NA,NA,NA,4
79,Man,Not Selected,Not Selected,6
57,Woman,NA,Not Selected,NA
42,NA,NA,NA,NA
54,Woman,NA,Not Selected,NA
55,NA,NA,NA,NA
NA,NA,NA,NA,NA
28,NA,NA,NA,NA
60,Woman,NA,Not Selected,NA
73,Woman,NA,Not Selected,NA
83,Woman,NA,Not Selected,NA
64,Woman,NA,Not Selected,NA
62,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
29,Man,NA,Not Selected,NA
NA,Man,Not Selected,Not Selected,5
28,Man,Not Selected,Not Selected,3
34,Man,Not Selected,Not Selected,4
32,Man,Not Selected,Not Selected,5
47,Man,NA,Not Selected,NA
34,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
26,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",7
66,Woman,NA,Not Selected,NA
28,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",5
30,NA,NA,NA,NA
66,Woman,NA,Not Selected,NA
71,Man,NA,Not Selected,NA
70,Man,Not Selected,Not Selected,9
61,NA,NA,NA,NA
32,Man,Not Selected,Not Selected,4
32,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",3
33,Man,NA,Not Selected,NA
33,Man,NA,Not Selected,NA
29,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,3
62,NA,NA,NA,NA
73,NA,NA,NA,NA
25,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",9
34,Man,NA,Not Selected,NA
52,Non-binary,NA,Not Selected,NA
30,Woman,Not Selected,Not Selected,8
60,NA,NA,NA,NA
37,Woman,NA,Not Selected,NA
85,NA,NA,NA,NA
25,Woman,Not Selected,Not Selected,NA
56,Man,NA,Not Selected,NA
24,NA,NA,NA,NA
38,NA,NA,NA,NA
64,Woman,NA,Not Selected,NA
24,Man,NA,Not Selected,NA
80,NA,NA,NA,NA
40,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",3
NA,NA,NA,NA,NA
74,NA,NA,NA,NA
35,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,7
53,Woman,NA,Not Selected,NA
18,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
30,Woman,NA,Not Selected,NA
17,NA,NA,NA,NA
23,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
53,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",7
68,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
65,Woman,NA,Not Selected,NA
25,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
66,Woman,NA,Not Selected,NA
16,Non-binary,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",4
23,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
43,Non-binary,NA,Not Selected,NA
NA,NA,NA,NA,3
NA,NA,NA,NA,3
69,Man,Not Selected,Not Selected,3
35,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",7
NA,NA,NA,NA,4
NA,NA,NA,NA,5
45,Woman,Not Selected,Not Selected,5
81,Woman,NA,Not Selected,NA
32,Woman,Not Selected,Not Selected,4
20,NA,NA,NA,NA
50,Non-binary,NA,Not Selected,NA
64,Woman,NA,Not Selected,NA
61,NA,NA,NA,NA
50,Woman,NA,Not Selected,NA
44,NA,NA,NA,NA
NA,NA,NA,NA,9
NA,NA,NA,NA,9
28,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
80,NA,NA,NA,NA
45,Woman,NA,Not Selected,NA
22,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
NA,NA,NA,NA,6
NA,NA,NA,NA,7
37,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
78,Woman,NA,Not Selected,NA
62,Woman,Not Selected,Not Selected,7
20,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
39,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,6
64,Man,NA,Not Selected,NA
72,Woman,NA,Not Selected,NA
18,Presented but no response,NA,NA,NA
64,Woman,NA,Not Selected,NA
63,Woman,NA,Not Selected,NA
63,Man,NA,Not Selected,NA
65,NA,NA,NA,NA
NA,NA,NA,NA,6
NA,NA,NA,NA,4
64,Woman,NA,Not Selected,NA
61,Woman,Not Selected,Not Selected,4
67,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
69,Woman,NA,Not Selected,NA
51,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",7
62,NA,NA,NA,NA
57,Woman,Not Selected,Not Selected,4
28,Man,Not Selected,Not Selected,6
26,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",5
64,Woman,NA,Not Selected,NA
29,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
38,Man,NA,Not Selected,NA
NA,NA,NA,NA,NA
30,Man,Not Selected,Not Selected,6
55,Woman,NA,Not Selected,NA
58,Woman,NA,Not Selected,NA
32,Man,Not Selected,Not Selected,NA
30,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",9
52,Woman,NA,Not Selected,NA
33,Man,NA,Not Selected,NA
27,Woman,NA,Not Selected,NA
80,Woman,NA,Not Selected,NA
26,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",4
54,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
28,Man,Not Selected,Not Selected,5
49,Woman,NA,Not Selected,NA
21,Woman,NA,Not Selected,NA
32,Woman,Not Selected,Not Selected,7
33,NA,NA,NA,NA
33,Woman,NA,Not Selected,NA
31,Woman,Not Selected,Not Selected,9
54,Man,NA,Not Selected,NA
68,NA,NA,NA,NA
55,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
28,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",4
24,Woman,NA,Not Selected,NA
43,Woman,Not Selected,Not Selected,9
25,Woman,NA,Not Selected,NA
30,Woman,NA,Not Selected,NA
64,NA,NA,NA,NA
79,NA,NA,NA,NA
32,Woman,NA,Not Selected,NA
NA,NA,NA,NA,4
NA,NA,NA,NA,3
34,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
58,NA,NA,NA,NA
48,NA,NA,NA,NA
71,NA,NA,NA,NA
79,NA,NA,NA,NA
59,Woman,Not Selected,Not Selected,7
32,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
27,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
54,Woman,NA,Not Selected,NA
46,NA,NA,NA,NA
24,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
67,Woman,NA,Not Selected,NA
NA,NA,NA,NA,NA
64,Man,NA,Not Selected,NA
41,Woman,NA,Not Selected,NA
NA,NA,NA,NA,NA
23,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
57,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",5
24,NA,NA,NA,NA
32,Presented but no response,NA,NA,NA
71,NA,NA,NA,NA
72,Woman,NA,Not Selected,NA
93,NA,NA,NA,NA
79,NA,NA,NA,NA
32,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",4
33,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",4
56,NA,NA,NA,NA
62,Woman,Not Selected,Not Selected,5
60,Woman,Not Selected,Not Selected,NA
39,Man,NA,Not Selected,NA
72,Woman,NA,Not Selected,NA
35,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",3
29,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
71,Man,Not Selected,Not Selected,NA
46,Woman,Not Selected,Not Selected,4
74,Woman,Not Selected,Not Selected,3
NA,NA,NA,NA,3
NA,NA,NA,NA,3
25,NA,NA,NA,NA
25,Man,Not Selected,Not Selected,6
64,NA,NA,NA,NA
38,"Non-binary (including those identifying as Two Spirit, agender, genderfluid, genderqueer, or with another term)",NA,Not Selected,NA
75,Woman,NA,Not Selected,NA
34,NA,NA,NA,NA
26,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
64,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
32,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
81,NA,NA,NA,NA
59,NA,NA,NA,NA
28,Man,Not Selected,Not Selected,5
NA,NA,NA,NA,6
62,Woman,Not Selected,Not Selected,6
NA,NA,NA,NA,4
34,NA,NA,NA,NA
49,Man,Not Selected,Not Selected,3
55,Woman,NA,Not Selected,NA
36,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",4
56,NA,NA,NA,NA
35,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
36,Man,Not Selected,Not Selected,5
73,Woman,NA,Not Selected,NA
28,Woman,Not Selected,Not Selected,6
38,Non-binary,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",7
59,Woman,NA,Not Selected,NA
53,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
53,Woman,Not Selected,Not Selected,6
59,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
56,NA,NA,NA,NA
60,Woman,NA,Not Selected,NA
59,Woman,NA,Not Selected,NA
20,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
NA,NA,NA,NA,3
65,Man,Not Selected,Not Selected,4
NA,NA,NA,NA,3
60,NA,NA,NA,NA
43,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
48,NA,NA,NA,NA
43,Woman,Not Selected,Not Selected,7
59,Woman,NA,Not Selected,NA
49,Man,NA,Not Selected,NA
39,NA,NA,NA,NA
27,NA,NA,NA,NA
25,Woman,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,6
31,Man,NA,Not Selected,NA
60,Woman,NA,Not Selected,NA
65,Woman,NA,Not Selected,NA
31,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
63,NA,NA,NA,NA
60,NA,NA,NA,NA
29,Man,NA,Not Selected,NA
65,NA,NA,NA,NA
66,Woman,NA,Not Selected,NA
46,Woman,NA,Not Selected,NA
31,NA,NA,NA,NA
26,Woman,NA,Not Selected,NA
45,Woman,NA,Not Selected,NA
42,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",3
44,"Non-binary (including those identifying as Two Spirit, agender, genderfluid, genderqueer, or with another term)",NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
25,Woman,NA,Not Selected,NA
25,Woman,NA,Not Selected,NA
58,Woman,NA,Not Selected,NA
21,Non-binary,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
27,Presented but no response,NA,NA,NA
28,Man,Not Selected,Not Selected,5
42,Woman,NA,Not Selected,NA
69,NA,NA,NA,NA
25,Woman,Not Selected,Not Selected,8
62,Man,Presented but no response,Presented but no response,NA
23,Man,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
53,Woman,NA,Not Selected,NA
20,Woman,NA,Not Selected,NA
53,Woman,NA,Not Selected,NA
32,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
64,NA,NA,NA,NA
47,NA,NA,NA,NA
32,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)",Not Selected,NA
56,NA,NA,NA,NA
29,Man,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",6
64,Woman,NA,Not Selected,NA
71,Woman,NA,Not Selected,NA
46,NA,NA,NA,NA
22,Woman,NA,Not Selected,NA
32,Man,"Indigenous peoples (e.g., First Nations, M??tis, Inuit)","Sexual or gender minorities (e.g., LGBTQ2+)",7
59,Non-binary,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
73,Man,NA,Not Selected,NA
28,Man,NA,Not Selected,NA
36,Woman,NA,Not Selected,NA
76,NA,NA,NA,NA
54,Man,NA,Not Selected,NA
25,Woman,NA,Not Selected,NA
64,Woman,NA,Not Selected,NA
28,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
62,Woman,NA,Not Selected,NA
27,Woman,Not Selected,"Sexual or gender minorities (e.g., LGBTQ2+)",5
NA,NA,NA,NA,6
NA,NA,NA,NA,9
24,NA,NA,NA,NA
30,NA,NA,NA,NA
48,Woman,NA,"Sexual or gender minorities (e.g., LGBTQ2+)",NA
79,Man,NA,Not Selected,NA
NA,NA,NA,NA,3
